,Year,Month,Flow,Banff_precip,Lake Louise_precip,Calgary Intl A_precip,Lake Louise_avetemp_avg_temp,Calgary Intl A_avetemp_avg_temp,Lake Louise_max_temp,Calgary Intl A_max_temp,Lake Louise_min_temp,Calgary Intl A_min_temp,nao.long,pdo.timeseries.cobe2-sst,pdo.timeseries.ersstv5,pdo.timeseries.hdsst1-1,pdo.timeseries.sstens,pna,SOI.dp3,amo,nino4.long.anom,nino3.long.anom,nino34.long.anom,AO
1912-01-01,1912.0,1.0,0.0,25.4,49.0,11.7,-11.84,-10.7,5.34,8.9,-40.480000000000004,-34.4,-0.91,0.401,-0.3,-0.132,-0.015,-0.42400000000000004,-1.114,-0.5,0.43,1.61,1.55,-0.5064
1912-02-01,1912.0,2.0,0.0,5.6,29.0,2.0,-10.34,-3.2,1.26,9.4,-27.2,-21.7,-0.17,0.59,0.088,0.046,0.258,0.6340000000000001,-1.827,-0.54,0.45,0.85,0.83,-0.11719999999999997
1912-03-01,1912.0,3.0,29.5975,8.4,50.0,8.9,-9.59483871,-5.6,6.76,15.6,-33.82,-26.7,2.22,-0.078,-0.198,-0.152,-0.148,0.572,-1.143,-0.51,0.46,0.56,0.69,0.09639999999999996
1912-04-01,1912.0,4.0,46.042,21.3,33.0,51.3,3.5200000000000005,5.1,19.560000000000002,18.9,-11.16,-10.0,-0.1,0.433,-0.268,-0.206,-0.052,-0.013999999999999967,-2.27,-0.48,0.4,0.53,0.58,-0.374
1912-05-01,1912.0,5.0,105.92,20.1,21.6,43.7,7.0,10.1,22.52,27.8,-6.26,-2.2,1.7,0.055,0.011,-0.321,-0.091,0.30599999999999994,-1.122,-0.46,-0.24,0.09,0.0,0.2952
1912-06-01,1912.0,6.0,241.07,75.7,46.5,109.5,9.672903225199999,15.4,25.139999999999997,32.2,-3.3600000000000003,-1.7,-0.98,0.327,0.374,-0.089,0.19,0.22799999999999998,-0.991,-0.61,-0.29,-0.16,-0.24,-0.43899999999999995
1912-07-01,1912.0,7.0,295.5,127.8,35.8,132.1,9.204666666,13.6,24.16,26.1,-3.7800000000000002,0.6,-1.42,0.657,0.299,0.573,0.509,0.21600000000000003,-0.049,-0.84,-0.12,-0.33,-0.1,0.12040000000000002
1912-08-01,1912.0,8.0,232.525,100.1,72.1,68.8,9.98,14.2,25.559999999999995,31.7,-3.3600000000000003,-1.1,0.07,0.169,0.523,-0.187,0.159,0.924,-0.942,-1.07,-0.34,-0.42,-0.4,-0.24299999999999997
1912-09-01,1912.0,9.0,136.675,18.0,32.8,71.1,7.730967741000001,8.2,22.859999999999996,22.2,-6.159999999999999,-3.9,-2.51,0.95,1.19,0.155,0.795,-0.4119999999999999,-0.397,-0.84,-0.22,0.21,0.09,-0.13419999999999999
1912-10-01,1912.0,10.0,0.0,46.2,83.1,27.4,2.42,4.5,16.6,21.1,-13.440000000000001,-9.4,0.42,0.756,0.691,-0.055,0.48,-0.54,-0.973,-0.64,-0.38,-0.16,-0.13,-0.127
