YM,Year,Month,Flow,Banff_precip,Ghost RS_precip,Lake Louise_precip,Elbow Ranger Station_precip,Calgary Intl A_precip,Three Isle Lake_avetemp_avg_temp,Cuthead Lake_avetemp_avg_temp,Banff_avetemp_avg_temp,Ghost RS_avetemp_avg_temp,Lake Louise_avetemp_avg_temp,Skoki Mountain_avetemp_avg_temp,Sunshine Village_avetemp_avg_temp,Little Elbow Summit_avetemp_avg_temp,Forget-me-not Mountain_avetemp_avg_temp,Elbow Ranger Station_avetemp_avg_temp,Scotch Camp_avetemp_avg_temp,Dogrib Creek_avetemp_avg_temp,Calgary Intl A_avetemp_avg_temp,Banff_max_temp,Ghost RS_max_temp,Lake Louise_max_temp,Elbow Ranger Station_max_temp,Calgary Intl A_max_temp,Three Isle Lake_min_temp,Cuthead Lake_min_temp,Banff_min_temp,Ghost RS_min_temp,Lake Louise_min_temp,Elbow Ranger Station_min_temp,Calgary Intl A_min_temp,nao.long,pdo.timeseries.cobe2-sst,pdo.timeseries.ersstv5,pdo.timeseries.hdsst1-1,pdo.timeseries.sstens,pna,SOI.dp3,amo,nino4.long.anom,nino3.long.anom,nino34.long.anom,AO,SD_BA801_802_808,SD_BL804_805,SD_BA810,SW_BA801_802_808,SW_BL804_805,SW_BA810
Jan-71,1971,1,0,78.5,44.7,10,53.8,24.1,-10.52200171,-12.54370944,-8.099423964,-12.8,-14.8,-10.60461284,-10.60834101,-12.82012485,-9.212854829,-14.2,-8.896676977,-10.66460512,-13.9,8.4,-6.7,4.4,11.1,10,-32.010474,-30.45218,-32.02,-18.9,-38.3,-44.4,-36.1,-0.43,-1.237,-0.989,-1.28,-1.234,-2.43,0.233,-0.19,-1.28,-1.31,-1.47,-0.163,0,0,0,0,0,0
Feb-71,1971,2,0,22.1,34.8,41,42.7,10.4,-8.348898172,-8.849571032,-8.004494624,-3.3,-9.7,-10.43277206,-7.555449742,-8.073406904,-4.514317742,-4.9,-5.680157548,-4.036506903,-4.5,5.86,3.2,3.9,14.4,10,-30.742354,-28.093724,-34.7,-9.7,-33.9,-30,-22.2,1.21,-1.236,-1.001,-1.412,-1.278,-0.16,1.442,-0.25,-1,-1.42,-1.28,-0.922,91,0,0,195.3333333,0,0
Mar-71,1971,3,25.1575,39.9,24.4,21,54.6,27.2,-9.863474259,-8.643976258,-9.687741936,-4.8,-8.7,-8.401200774,-11.2294029,-10.42263729,-7.153084194,-7.1,-6.682112064,-8.955665032,-5.1,8.12,1.7,6.7,11.7,8.3,-30.39434,-23.917978,-33.08,-11.2,-28.3,-30.6,-23.3,-1.76,-1.234,-1.029,-1.186,-1.224,-0.28,1.976,-0.32,-1.1,-1.17,-1.29,-1.091,92.66666667,0,140,254,0,401
Apr-71,1971,4,40.564,34.5,31.2,48.3,53.1,18,-2.785995656,-1.597834989,2.095376344,3.3,-0.1,-3.435979441,-3.530215054,-3.190186129,1.36802314,1.8,0.765025441,-1.802235677,4.4,17,9.4,14.4,16.7,20.6,-17.417536,-16.02686,-14.36,-2.8,-17.8,-17.8,-8.3,-3.15,-1.306,-1.208,-1.308,-1.355,0.23,2.581,-0.41,-0.74,-0.78,-0.97,-0.583,108,110,160,288.6666667,251,472
May-71,1971,5,171.56,37.1,32,68.8,68.8,18,4.080879613,3.667935483,8.335397849,8.7,6.8,3.943402881,3.802365592,4.419462366,5.186187806,7.7,5.765895119,2.933025656,10.9,24.12,16.1,22.8,26.1,27.2,-7.572372,-7.74,-5.52,1.2,-7.8,-8.9,-2.2,-0.62,-1.375,-1.259,-1.141,-1.355,1.09,0.882,-0.36,-0.66,-0.87,-0.82,0.679,0,0,107,0,0,399
Jun-71,1971,6,327.925,54.9,114.3,51.3,148.6,95,5.080828323,6.286688172,10.05664516,10.6,9.2,5.755384,5.025268817,5.024378473,8.470592774,10.1,9.164569354,6.296991742,13.3,25.94,16.8,25.6,23.9,26.1,-5.218924,-3.72,-2.72,4.4,-2.2,-3.9,2.2,-1.32,-1.721,-1.484,-1.591,-1.704,0.51,0.212,-0.38,-0.74,-0.81,-0.78,-0.668,0,0,0,0,0,0
Jul-71,1971,7,196.54,33.8,80.5,151.5,44.7,73.4,4.84,4.32,9.16,13.9,12.3,6.34,3.7,5.34693,7.66,12.5,7.04,4.92,16,26.08,21.6,29.4,28.9,30.6,-9.56,-8.14,-5.66,6.2,-3.3,-2.8,1.1,-1.04,-1.803,-1.896,-2.014,-2.017,-1.74,0.167,-0.37,-0.83,-0.62,-0.64,-0.578,0,0,0,0,0,0
Aug-71,1971,8,129.035,11.2,41.7,12.6,41.7,29.7,9.671223484,9.539427397,13.79337634,17,14.6,12.79269355,8.450580646,10.08477865,12.79368424,15.3,13.10822267,9.42440471,19.6,31.4,25.7,31.7,32.8,35,-1.426522,-1.060794,-0.16,8.2,0.6,0,5.6,0.07,-0.228,-0.189,-0.142,-0.193,-0.81,1.421,-0.47,-0.87,-0.81,-0.65,0.818,0,0,0,0,0,0
Sep-71,1971,9,73.8025,42.2,44.7,24.4,50.3,40.4,1.811304796,3.056023505,5.485634409,7.7,5.4,5.382972989,2.727890731,3.441456237,6.118057054,6.4,5.432568237,3.735466903,9.3,23.02,14.3,20,23.9,27.8,-11.157978,-10.151306,-8.08,1.1,-7.8,-8.3,-3.3,-0.54,0.056,0.05,0.038,0.036,0.15,1.512,-0.35,-1.06,-0.76,-0.75,0.153,0,0,0,0,0,0
Oct-71,1971,10,0,45.2,40.9,34.1,63.8,25.7,-1.396624,-1.374004,3.171333333,3.5,-1.1,-3.572529785,-1.001208,-1.272436667,2.721048667,1.4,2.07816,0.045606,4.6,20.16,10.7,20,27.2,25,-18.985986,-17.249944,-14.3,-3.8,-30.6,-26.7,-17.8,1.63,-0.394,-0.154,-0.362,-0.319,-1.35,1.752,-0.14,-0.61,-1.08,-0.78,1.185,0,0,0,0,0,0
